"","X","teamRslt","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFG.","team2P.","team3P.","teamFT.","teamTRB","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFG.","oppt2P.","oppt3P.","opptFT.","opptTRB"
"8406",8406,"Win",25,10,6,6,18,0.4886,0.5,0.4667,0.7143,54,17,11,6,7,16,0.4444,0.4918,0.3,1,30
"8407",8407,"Loss",18,11,4,3,26,0.3936,0.4394,0.2857,0.72,55,14,8,5,6,23,0.3778,0.4265,0.2273,0.7692,52
"8408",8408,"Win",14,8,5,6,23,0.3778,0.4265,0.2273,0.7692,52,18,11,4,3,26,0.3936,0.4394,0.2857,0.72,55
"8409",8409,"Win",32,13,11,5,20,0.5444,0.5714,0.45,0.8,44,23,16,6,6,18,0.4805,0.5231,0.25,0.7,35
"8410",8410,"Loss",23,16,6,6,18,0.4805,0.5231,0.25,0.7,35,32,13,11,5,20,0.5444,0.5714,0.45,0.8,44
"8411",8411,"Win",26,15,7,8,14,0.4494,0.4583,0.4118,0.7436,48,23,15,7,9,27,0.4382,0.4833,0.3448,0.6957,39
"8412",8412,"Loss",23,15,7,9,27,0.4382,0.4833,0.3448,0.6957,39,26,15,7,8,14,0.4494,0.4583,0.4118,0.7436,48
"8413",8413,"Win",17,16,8,2,16,0.4853,0.5238,0.4231,0.7619,34,17,16,9,4,20,0.4,0.3913,0.4138,0.76,44
"8414",8414,"Loss",17,16,9,4,20,0.4,0.3913,0.4138,0.76,44,17,16,8,2,16,0.4853,0.5238,0.4231,0.7619,34
"8415",8415,"Win",21,13,10,3,19,0.3846,0.4211,0.2,0.6923,52,14,22,7,4,19,0.3889,0.4773,0.25,0.625,42
"8416",8416,"Loss",14,22,7,4,19,0.3889,0.4773,0.25,0.625,42,21,13,10,3,19,0.3846,0.4211,0.2,0.6923,52
"8417",8417,"Loss",15,14,7,1,12,0.4419,0.4769,0.3333,0.9474,41,32,11,4,9,19,0.5172,0.566,0.4412,1,37
"8418",8418,"Win",32,11,4,9,19,0.5172,0.566,0.4412,1,37,15,14,7,1,12,0.4419,0.4769,0.3333,0.9474,41
"8419",8419,"Win",20,9,7,6,20,0.4762,0.5303,0.2778,0.9167,46,22,13,3,4,24,0.4253,0.4583,0.3846,0.6316,41
"8420",8420,"Loss",22,13,3,4,24,0.4253,0.4583,0.3846,0.6316,41,20,9,7,6,20,0.4762,0.5303,0.2778,0.9167,46
